credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo
CR000001,CL00001,2025-03-25,Crédito libre inversión,2000000,9,0.0301,257000,App,677,0.1606,Automática,Finalizado
CR000002,CL00002,2025-09-08,Avance de nómina,2150000,3,0.0261,754000,Web,859,0.2278,Automática,Finalizado
CR000003,CL00003,2024-06-28,Microcrédito,4350000,6,0.0398,829000,Aliado,805,0.3528,Manual,Mora moderada
CR000004,CL00003,2024-03-22,Avance de nómina,950000,12,0.0233,92000,App,861,0.0391,Automática,Finalizado
CR000005,CL00003,2026-01-30,Crédito consumo digital,1450000,9,0.0211,179000,Aliado,865,0.0762,Automática,Activo
CR000006,CL00005,2026-01-28,Microcrédito,1300000,6,0.0253,236000,App,776,0.2593,Automática,Mora moderada
CR000007,CL00006,2024-08-11,Crédito libre inversión,3800000,12,0.0293,380000,Web,867,0.1105,Automática,Finalizado
CR000008,CL00007,2025-06-24,Crédito libre inversión,10800000,12,0.0319,1098000,Aliado,875,0.2845,Automática,Mora severa
CR000009,CL00008,2024-10-19,Microcrédito,1300000,18,0.0314,96000,App,606,0.064,Manual,Mora severa
CR000010,CL00010,2025-04-16,Crédito libre inversión,2100000,24,0.0336,129000,App,874,0.0502,Automática,Mora moderada
CR000011,CL00011,2025-09-11,Crédito consumo digital,350000,12,0.0252,34000,App,783,0.0262,Automática,Activo
CR000012,CL00011,2026-01-11,Crédito libre inversión,1300000,12,0.0315,132000,Web,756,0.1015,Automática,Activo
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo
CR000032,CL00033,2025-08-11,Crédito consumo digital,4000000,12,0.0383,422000,App,900,0.1275,Automática,Activo
CR000033,CL00034,2026-02-01,Microcrédito,700000,6,0.0255,127000,App,811,0.083,Automática,Activo
CR000034,CL00034,2025-08-01,Crédito libre inversión,1200000,12,0.0332,123000,Web,730,0.0804,Automática,Mora moderada
CR000035,CL00035,2025-03-21,Crédito consumo digital,4050000,6,0.0373,766000,Web,900,0.152,Automática,Finalizado
CR000036,CL00036,2025-09-29,Crédito consumo digital,950000,12,0.0211,90000,Aliado,572,0.0448,Manual,Activo
CR000037,CL00036,2025-11-03,Crédito libre inversión,6550000,6,0.0248,1188000,App,462,0.591,Excepción,Activo
CR000038,CL00037,2025-10-10,Crédito libre inversión,6450000,6,0.0267,1178000,Web,889,0.5746,Excepción,Mora moderada
CR000039,CL00038,2025-09-19,Crédito consumo digital,1900000,12,0.0338,195000,App,679,0.0759,Automática,Mora severa
CR000040,CL00039,2025-11-29,Crédito consumo digital,2650000,6,0.0263,483000,App,854,0.1543,Automática,Activo
CR000041,CL00039,2024-06-27,Crédito libre inversión,4450000,12,0.0183,417000,App,864,0.1332,Automática,Mora moderada
CR000042,CL00040,2025-09-01,Microcrédito,2350000,3,0.0408,848000,App,900,0.2024,Automática,Mora severa
CR000043,CL00040,2026-01-09,Avance de nómina,1800000,6,0.0187,320000,Web,840,0.0764,Automática,Activo
CR000044,CL00041,2023-10-04,Microcrédito,3800000,3,0.0396,1368000,App,827,0.45,Manual,Finalizado
CR000045,CL00042,2026-03-26,Microcrédito,700000,18,0.036,53000,Aliado,750,0.0296,Automática,Activo
CR000046,CL00043,2025-03-30,Crédito consumo digital,1550000,9,0.0294,199000,Call center,900,0.0812,Automática,Finalizado
CR000047,CL00044,2026-01-05,Crédito consumo digital,1150000,12,0.0308,116000,Aliado,900,0.0391,Automática,Activo
CR000048,CL00044,2025-09-09,Avance de nómina,900000,3,0.0192,312000,Aliado,900,0.1051,Automática,Finalizado
CR000049,CL00045,2024-11-13,Crédito consumo digital,700000,3,0.0224,244000,App,787,0.0949,Automática,Finalizado
CR000050,CL00046,2025-07-23,Crédito consumo digital,1850000,12,0.0298,186000,App,811,0.0724,Automática,Activo
CR000051,CL00047,2025-10-26,Crédito libre inversión,3250000,18,0.0247,226000,Call center,786,0.1378,Automática,Activo
CR000052,CL00048,2026-01-30,Crédito consumo digital,1650000,6,0.027,302000,Call center,800,0.1175,Automática,Activo
CR000053,CL00050,2025-05-11,Crédito libre inversión,3750000,12,0.0186,351000,App,803,0.1526,Automática,Mora moderada
CR000054,CL00051,2025-12-12,Crédito libre inversión,7550000,3,0.0335,2687000,App,726,0.9842,Excepción,Mora moderada
CR000055,CL00052,2025-06-28,Crédito consumo digital,3250000,6,0.0325,605000,Aliado,782,0.1576,Automática,Mora moderada
CR000056,CL00054,2025-01-05,Crédito consumo digital,1400000,12,0.0252,137000,Web,809,0.0628,Automática,Mora moderada
CR000057,CL00056,2025-10-23,Crédito consumo digital,2050000,6,0.0217,368000,App,900,0.1553,Automática,Finalizado
CR000058,CL00056,2026-03-30,Avance de nómina,1050000,6,0.0314,195000,App,874,0.0823,Automática,Activo
CR000059,CL00057,2024-11-12,Microcrédito,1100000,9,0.0389,147000,Web,775,0.0739,Automática,Mora moderada
CR000060,CL00058,2024-05-02,Microcrédito,3300000,6,0.0263,602000,App,849,0.2427,Automática,Finalizado
CR000061,CL00059,2026-01-05,Crédito consumo digital,1750000,9,0.0346,230000,Call center,860,0.105,Automática,Activo
CR000062,CL00059,2025-06-27,Avance de nómina,1400000,12,0.0273,138000,App,815,0.063,Automática,Activo
CR000063,CL00059,2026-03-27,Crédito libre inversión,1600000,12,0.0306,161000,App,886,0.0735,Automática,Activo
CR000064,CL00060,2026-02-06,Crédito consumo digital,3350000,9,0.0228,416000,App,900,0.1115,Automática,Activo
CR000065,CL00061,2024-03-09,Crédito consumo digital,1150000,6,0.0321,214000,App,848,0.096,Automática,Finalizado
CR000066,CL00062,2025-12-17,Avance de nómina,700000,9,0.0229,87000,App,870,0.0361,Automática,Activo
CR000067,CL00063,2023-08-08,Crédito consumo digital,2150000,12,0.0305,217000,App,748,0.0702,Automática,Mora moderada
CR000068,CL00064,2025-08-03,Crédito libre inversión,7800000,12,0.0309,788000,App,808,0.2765,Automática,Mora severa
CR000069,CL00065,2026-03-20,Microcrédito,5200000,6,0.033,969000,App,900,0.1541,Automática,Activo
CR000070,CL00065,2025-04-08,Crédito consumo digital,5500000,3,0.0355,1965000,App,900,0.3124,Automática,Mora severa
CR000071,CL00067,2025-07-07,Crédito consumo digital,2800000,9,0.024,350000,Aliado,900,0.0882,Automática,Finalizado
CR000072,CL00067,2025-01-16,Crédito consumo digital,2600000,6,0.0301,480000,Aliado,900,0.1209,Automática,Finalizado
CR000073,CL00068,2024-10-03,Crédito consumo digital,3200000,12,0.0333,328000,Call center,900,0.0682,Automática,Finalizado
CR000074,CL00069,2024-05-11,Crédito libre inversión,2900000,6,0.0266,529000,Aliado,754,0.258,Automática,Finalizado
CR000075,CL00072,2025-08-31,Crédito libre inversión,3350000,9,0.0259,422000,App,889,0.1796,Automática,Activo
CR000076,CL00073,2026-01-07,Avance de nómina,800000,12,0.0265,79000,Web,844,1.2,Automática,Mora moderada
CR000077,CL00074,2025-06-24,Crédito consumo digital,4300000,9,0.0383,574000,Call center,900,0.0939,Automática,Finalizado
CR000078,CL00075,2026-01-08,Crédito consumo digital,1400000,6,0.0293,258000,Call center,880,0.0733,Automática,Activo
CR000079,CL00076,2024-10-22,Microcrédito,900000,12,0.0306,91000,App,810,0.0384,Automática,Mora moderada
CR000080,CL00077,2025-05-15,Crédito consumo digital,650000,6,0.0277,119000,App,725,0.0613,Automática,Mora severa
CR000081,CL00077,2025-08-25,Avance de nómina,1000000,12,0.0296,100000,App,870,0.0515,Automática,Activo
CR000082,CL00078,2025-11-06,Crédito consumo digital,1850000,6,0.0227,333000,Aliado,900,0.1041,Automática,Activo
CR000083,CL00079,2025-08-17,Microcrédito,600000,6,0.0343,112000,App,832,0.0457,Automática,Finalizado
CR000084,CL00080,2026-03-12,Crédito libre inversión,7700000,9,0.0264,973000,Call center,798,0.4746,Manual,Activo
CR000085,CL00081,2025-12-29,Crédito consumo digital,1450000,12,0.0388,153000,App,608,0.0827,Manual,Activo
CR000086,CL00082,2023-06-24,Crédito libre inversión,5550000,9,0.0304,714000,App,846,0.2412,Automática,Mora severa
CR000087,CL00083,2025-12-01,Crédito libre inversión,2350000,6,0.0254,427000,Aliado,759,0.1787,Automática,Activo
CR000088,CL00086,2025-06-13,Crédito libre inversión,4050000,3,0.0306,1433000,Call center,675,0.549,Manual,Finalizado
CR000089,CL00088,2025-07-04,Crédito consumo digital,1100000,6,0.0284,202000,App,863,0.1074,Automática,Finalizado
CR000090,CL00089,2025-12-13,Crédito consumo digital,1600000,3,0.0282,564000,App,617,0.5127,Manual,Finalizado
CR000091,CL00089,2026-03-03,Crédito libre inversión,1050000,18,0.0204,70000,Web,628,0.0636,Automática,Activo
CR000092,CL00091,2026-02-07,Crédito consumo digital,1000000,3,0.0202,347000,Aliado,864,0.1896,Automática,Activo
CR000093,CL00092,2024-08-16,Crédito consumo digital,6950000,6,0.0213,1246000,Aliado,900,0.2351,Automática,Finalizado
CR000094,CL00093,2023-10-03,Crédito libre inversión,5400000,9,0.0225,669000,App,900,0.1436,Automática,Finalizado
CR000095,CL00093,2024-08-04,Microcrédito,4150000,12,0.0325,423000,App,900,0.0908,Automática,Finalizado
CR000096,CL00093,2025-12-15,Crédito consumo digital,2450000,12,0.023,236000,Aliado,900,0.0506,Automática,Activo
CR000097,CL00094,2025-07-21,Crédito consumo digital,450000,3,0.0247,157000,Aliado,760,0.1256,Automática,Finalizado
CR000098,CL00095,2025-10-31,Crédito libre inversión,3300000,24,0.0327,200000,App,877,0.0778,Automática,Mora moderada
CR000099,CL00095,2023-09-10,Crédito libre inversión,2950000,18,0.0181,194000,App,859,0.0755,Automática,Finalizado
CR000100,CL00096,2026-01-27,Crédito consumo digital,2950000,3,0.0289,1041000,Web,891,0.2361,Automática,Finalizado
CR000101,CL00096,2024-12-09,Crédito libre inversión,4850000,6,0.0235,876000,Aliado,900,0.1986,Automática,Finalizado
CR000102,CL00097,2024-10-01,Microcrédito,3350000,9,0.0413,453000,Call center,724,0.2157,Automática,Mora severa
CR000103,CL00099,2026-01-16,Avance de nómina,1000000,9,0.0211,123000,App,886,0.0355,Automática,Activo
CR000104,CL00100,2024-03-01,Avance de nómina,1000000,9,0.0219,124000,App,900,0.0286,Automática,Mora severa
CR000105,CL00101,2025-09-03,Avance de nómina,1950000,9,0.0267,247000,Web,858,0.0911,Automática,Activo
CR000106,CL00102,2025-07-27,Avance de nómina,550000,12,0.0262,54000,App,707,0.0482,Automática,Activo
CR000107,CL00103,2025-04-11,Microcrédito,1850000,12,0.0273,183000,Aliado,853,0.0614,Automática,Mora moderada
CR000108,CL00104,2025-10-12,Crédito consumo digital,1000000,3,0.0254,350000,Aliado,852,0.1311,Automática,Finalizado
CR000109,CL00104,2026-03-21,Crédito consumo digital,1500000,6,0.0308,278000,Aliado,885,0.1041,Automática,Activo
CR000110,CL00105,2025-08-24,Microcrédito,4750000,24,0.0391,309000,App,883,0.1202,Automática,Activo
CR000111,CL00106,2025-09-25,Microcrédito,3150000,12,0.0385,333000,Web,900,0.0626,Automática,Activo
CR000112,CL00107,2025-09-10,Microcrédito,1800000,12,0.0272,178000,App,885,0.0693,Automática,Activo
CR000113,CL00108,2026-01-06,Crédito libre inversión,2400000,24,0.0217,129000,Web,831,0.0502,Automática,Activo
CR000114,CL00108,2026-02-08,Crédito consumo digital,900000,12,0.035,93000,Web,876,0.0362,Automática,Activo
CR000115,CL00108,2025-07-13,Microcrédito,3500000,12,0.0371,367000,App,853,0.1428,Automática,Activo
CR000116,CL00109,2025-01-07,Crédito consumo digital,750000,9,0.0343,98000,App,838,0.0402,Automática,Finalizado
CR000117,CL00109,2025-05-15,Crédito consumo digital,750000,6,0.0247,136000,Aliado,895,0.0557,Automática,Mora severa
CR000118,CL00110,2025-11-12,Crédito libre inversión,1400000,9,0.0195,171000,App,746,0.0847,Automática,Activo
CR000119,CL00111,2024-05-11,Crédito consumo digital,900000,9,0.0356,119000,Web,742,0.0753,Automática,Mora moderada
CR000120,CL00113,2025-08-04,Microcrédito,2050000,3,0.0379,736000,Call center,850,0.1524,Automática,Finalizado
CR000121,CL00114,2023-07-09,Crédito libre inversión,7800000,9,0.0181,947000,Aliado,900,0.1821,Automática,Finalizado
CR000122,CL00115,2025-06-25,Microcrédito,7950000,12,0.0319,808000,Aliado,715,0.2825,Automática,Mora moderada
CR000123,CL00116,2024-11-29,Crédito libre inversión,1450000,3,0.0243,507000,Aliado,609,0.1928,Manual,Finalizado
CR000124,CL00117,2025-06-26,Crédito libre inversión,2150000,12,0.0276,213000,App,853,0.0734,Automática,Activo
CR000125,CL00119,2025-06-12,Crédito libre inversión,2700000,18,0.0267,191000,Call center,889,0.099,Automática,Mora moderada
CR000126,CL00120,2026-03-10,Crédito libre inversión,4200000,12,0.0339,432000,Aliado,900,0.1681,Automática,Activo
CR000127,CL00121,2025-09-03,Microcrédito,1250000,6,0.0399,238000,App,657,0.2674,Automática,Mora moderada
CR000128,CL00123,2025-08-14,Microcrédito,6400000,12,0.0312,648000,Aliado,900,0.1403,Automática,Activo
CR000129,CL00123,2024-09-27,Crédito consumo digital,1950000,12,0.0255,191000,Aliado,900,0.0413,Automática,Finalizado
CR000130,CL00125,2025-07-17,Crédito consumo digital,2250000,9,0.0252,283000,App,865,0.0515,Automática,Finalizado
CR000131,CL00126,2025-08-03,Crédito consumo digital,750000,9,0.0213,92000,Web,855,0.0398,Automática,Mora severa
CR000132,CL00127,2024-06-22,Crédito consumo digital,1850000,6,0.0255,336000,App,858,0.1057,Automática,Mora severa
CR000133,CL00127,2025-01-14,Crédito consumo digital,900000,3,0.0309,319000,App,803,0.1003,Automática,Finalizado
CR000134,CL00128,2024-07-03,Crédito consumo digital,1150000,6,0.0239,208000,App,804,0.0589,Automática,Finalizado
CR000135,CL00130,2024-07-22,Crédito consumo digital,600000,3,0.0324,213000,App,822,0.1392,Automática,Finalizado
